Real Value (z)	Prediction (y)
6.256950558337068813e-01	4.580820648159832920e-01
1.905002401413849120e-02	4.580820648159832920e-01
5.750305056809434240e-02	4.580820648159832920e-01
6.256950558337068813e-01	4.580820648159832920e-01
3.911455752199952673e-01	4.580820648159832920e-01
7.149609880056583266e-01	4.580820648159832920e-01
3.818614979548967114e-01	4.580820648159832920e-01
1.856933438098506695e-01	4.580820648159832920e-01
3.988693658294555910e-01	4.580820648159832920e-01
6.491823367485354268e-01	4.580820648159832920e-01
3.354304639639236196e-01	4.580820648159832920e-01
0.000000000000000000e+00	4.580820648159832920e-01
5.750305056809434240e-02	4.580820648159832920e-01
4.142611625194621006e-01	4.580820648159832920e-01
9.153146922157204823e-01	4.580820648159832920e-01
7.402252893338455708e-01	4.580820648159832920e-01
0.000000000000000000e+00	4.580820648159832920e-01
6.256950558337068813e-01	4.580820648159832920e-01
4.142611625194621006e-01	4.580820648159832920e-01
3.354304639639236196e-01	4.580820648159832920e-01
7.402252893338455708e-01	4.580820648159832920e-01
7.032046339674111191e-02	4.580820648159832920e-01
1.635803466482822072e-02	4.580820648159832920e-01
4.142611625194621006e-01	4.580820648159832920e-01
1.143529179254047790e-01	4.580820648159832920e-01
3.412618331197762034e-01	4.580820648159832920e-01
1.905002401413849120e-02	4.580820648159832920e-01
7.084497778924009337e-02	4.580820648159832920e-01
1.905002401413849120e-02	4.580820648159832920e-01
7.032046339674111191e-02	4.580820648159832920e-01
3.354304639639236196e-01	4.580820648159832920e-01
7.032046339674111191e-02	4.580820648159832920e-01
6.491823367485354268e-01	4.580820648159832920e-01
3.988693658294555910e-01	4.580820648159832920e-01
3.412618331197762034e-01	4.580820648159832920e-01
9.323102070461559698e-01	4.580820648159832920e-01
6.256950558337068813e-01	4.580820648159832920e-01
6.256950558337068813e-01	4.580820648159832920e-01
1.905002401413849120e-02	4.580820648159832920e-01
3.988693658294555910e-01	4.580820648159832920e-01
5.523921387930308402e-01	4.580820648159832920e-01
9.601457646458604334e-01	4.580820648159832920e-01
1.143529179254047790e-01	4.580820648159832920e-01
3.911455752199952673e-01	4.580820648159832920e-01
5.523921387930308402e-01	4.580820648159832920e-01
4.618351241894191883e-02	4.580820648159832920e-01
9.153146922157204823e-01	4.580820648159832920e-01
4.338322315824454933e-01	4.580820648159832920e-01
9.601457646458604334e-01	4.580820648159832920e-01
7.464044022149295410e-01	4.580820648159832920e-01
7.570662742112360677e-01	4.580820648159832920e-01
6.256950558337068813e-01	4.580820648159832920e-01
6.491823367485354268e-01	4.580820648159832920e-01
6.491823367485354268e-01	4.580820648159832920e-01
2.534549061490634081e-01	4.580820648159832920e-01
1.000000000000000000e+00	4.580820648159832920e-01
7.032046339674111191e-02	4.580820648159832920e-01
4.618351241894191883e-02	4.580820648159832920e-01
3.354304639639236196e-01	4.580820648159832920e-01
3.354304639639236196e-01	4.580820648159832920e-01
7.149609880056583266e-01	4.580820648159832920e-01
4.338322315824454933e-01	4.580820648159832920e-01
