Real Value (z)	Prediction (y)
1.559541798059416728e-01	-1.895158722859146438e+00
1.080095691735754315e-01	-1.578674645933546783e+00
2.483249718512276216e-01	-1.088275135769656288e+00
8.217983353991918927e-01	9.315095852177042168e-01
2.937092571898666793e-01	-7.273061451204099193e-01
4.116252898412747774e-01	1.222574920384045249e-01
3.430609829210890527e-01	-8.901137552610001169e-01
6.098933633952972055e-01	6.100233736483088309e-01
2.150150258760489819e-01	-9.981136439399365123e-01
2.096002559241266772e-01	-1.228985897807374217e+00
2.140016425371838171e-01	-1.576430815757471349e+00
7.789432412017576191e-01	8.612667613021098845e-01
5.199519395611923445e-01	2.604720991670032015e-01
4.358629826972675314e-01	-9.625406414401627142e-02
7.898284160328060688e-01	9.003282070425269179e-01
4.326240880529111377e-01	-4.348074138139974010e-01
1.745826366388164574e-01	-1.588420486556201494e+00
4.390734784187173556e-01	-5.087856643880430685e-01
1.587032508204577197e-01	-1.432766309794483606e+00
4.973149920200919949e-01	2.987271933667382529e-01
5.120572478680498474e-01	4.019356755053806740e-01
2.411165450425938050e-01	-1.065558834826516588e+00
2.983243530356817774e-01	-8.301125806045679401e-01
7.418771072381932230e-01	4.913995080055628684e-01
2.975176879038799460e-01	-1.204664072264390873e+00
6.865439900131111717e-01	7.404219248749623894e-01
3.061568951457966370e-01	-8.079272915863437987e-01
2.768217486686391227e-01	-7.907732152180173557e-01
4.096252560069817417e-01	-9.755599642188617082e-02
3.666232166113753688e-01	-3.320692564797830815e-01
2.331340640190612545e-01	-1.224765274630438050e+00
1.461003448558378659e-01	-1.468351730354675144e+00
4.720392494443041986e-01	1.436054569282104454e-01
7.177718238682938567e-01	5.707258218544082329e-01
8.733727378662494711e-01	1.071731682623203508e+00
2.399406119396918780e-01	-1.422941727978674242e+00
1.652317415230999120e-01	-1.379644888534954816e+00
2.842205383780483374e-01	-9.849271333575200238e-01
4.436867028072352670e-01	6.793332033533946990e-02
2.376613343785052013e-01	-1.184020410738262807e+00
6.318064795724900318e-01	-4.725923667218751012e-02
1.946037553652323893e-01	-1.666276944280164818e+00
9.125369604481042840e-02	-1.903210927558594223e+00
8.872791577589357603e-02	-1.816177599214895855e+00
3.495780799256931748e-01	-5.076336343991498801e-01
3.857098790834128099e-01	-3.537235257256147736e-01
2.557647032305192525e-01	-1.231494617609985465e+00
1.790015017644636108e-01	-1.360033249809050604e+00
2.429726307131979124e-01	-1.579174367266507284e+00
3.243032026040266191e-01	-9.075918471535673326e-01
6.014826023862699378e-01	5.702342848078203463e-01
2.646309377905145532e-01	-1.200406983470475142e+00
6.971207786258603045e-01	6.487850927899940778e-01
3.409775335632366233e-01	-5.373396309325271236e-01
5.124796729554698116e-01	5.339396828788089966e-01
2.349184844450998844e-01	-1.329438144652975939e+00
6.190864666370179403e-01	5.652395712080171553e-01
4.847800191729657038e-01	-2.069913410389689901e-02
1.776072190160657427e-01	-1.326262184550663026e+00
5.175740063747268360e-01	2.275346873842704065e-01
4.865911929505883360e-01	-1.828364619752573250e-01
4.836088152131361451e-01	-3.498789934181345540e-03
4.030526381739668595e-01	-8.110931979501351252e-02
