Real Value (z)	Prediction (y)
4.926775040680532736e-01	3.389643983257743520e-01
6.458869251245478171e-01	3.965286658674095355e-01
2.650884947039227058e-01	4.514343988902075888e-01
7.053977562605057150e-02	3.323035244531870047e-01
7.919036341276106672e-01	3.852140640758230927e-01
1.379307258409547821e-01	3.461123236542394399e-01
9.774068644035938114e-02	4.081203938385579155e-01
5.606072811441030757e-01	4.139103985149742426e-01
7.815137633565512332e-02	3.206113035671177558e-01
7.761720379291147109e-01	3.884653833051178173e-01
6.772731422556617087e-01	3.898076535909609230e-01
2.131606223181727877e-01	4.136997972734257623e-01
6.519017365978007073e-01	3.433729990283079792e-01
6.965688722765523977e-01	3.711406677865850545e-01
5.782793700917079338e-01	4.227815020061579943e-01
2.864303346991967647e-01	3.873093850155530093e-01
1.745816931336272582e-01	4.283760794217901235e-01
7.292010146414116267e-01	3.984397794792822745e-01
3.347994436299387422e-01	4.155835956250064078e-01
8.980507356508259098e-02	3.761541544441144858e-01
1.288279531202729533e-01	3.517041762229040636e-01
4.545013524375202674e-01	3.524583474726693533e-01
1.600781209442538044e-01	4.534351478069496011e-01
1.487645469826590905e-01	4.571392594360146888e-01
3.960359528195324108e-01	3.734988565726709009e-01
4.505469719183489152e-01	4.274109248524089466e-01
5.771766546549449428e-01	4.103758094724340721e-01
7.046047320097167388e-01	3.510824957962697668e-01
6.927684422891370319e-01	3.865039042758359189e-01
1.806609490155221542e-01	4.001958110308937444e-01
2.903990361980662849e-01	3.534843904302505946e-01
5.830464662087533334e-01	3.385633570218084532e-01
3.038285349100732224e-01	4.403415033300971393e-01
2.722901573696656641e-01	4.338994501837096784e-01
1.423988715067997790e-01	3.433963272469433003e-01
6.280018116039318699e-01	4.095326936880537838e-01
3.127379744048290333e-01	4.504135702526429474e-01
3.702689300975079978e-01	4.356806625820129897e-01
8.892719750958163472e-01	3.665642491728403063e-01
1.185991933708184926e-01	3.974455722337920660e-01
5.980566430549514312e-01	4.165752811321244975e-01
4.372803743504092844e-01	3.294591817704483061e-01
1.922967450203268425e-01	3.598771586760380892e-01
3.481107942594353077e-01	3.617443753178948285e-01
4.426113590430721390e-01	3.582178793434795949e-01
1.810458253449118426e-01	3.659558272360401987e-01
9.064750519583044674e-01	3.636078191069261334e-01
8.696647637664892683e-01	3.475562192752442714e-01
1.000000000000000000e+00	3.468361165931221901e-01
8.350026225294072957e-02	4.153828995356559917e-01
6.062894162589662628e-01	3.938507074264203656e-01
3.230132773383027067e-01	4.003231748487598995e-01
3.319066057308980161e-02	4.089711627914106029e-01
2.416611620400951621e-01	4.029400460475426327e-01
7.426215627411071329e-01	3.858446206706279691e-01
2.247964183229774759e-01	4.311448238089090612e-01
2.593833744166438304e-01	3.653605164498119340e-01
1.396832557315245971e-02	3.785297676725078997e-01
9.387849722799537222e-01	3.578314525737817942e-01
4.706679483943496667e-01	3.469053051409610733e-01
1.626558972899335986e-01	3.282120723231879977e-01
8.312200937666145428e-01	3.558416823391827299e-01
7.911822147753128087e-01	3.762528573397639353e-01
1.516233725549164879e-03	4.273454180297269756e-01
4.673938144108438220e-01	4.337335160498765330e-01
4.403880269449232943e-01	4.057691348753096339e-01
4.968341684254619639e-01	3.885248274005771441e-01
6.621680889189629493e-01	3.931497725121729236e-01
