Real Value (z)	Prediction (y)
2536	2600.669944363679
2902	2367.8216323832667
2100	1700.9713511594532
2450	2710.159829040039
3013	2746.5204340131404
1993	1766.1711649840836
2135	1820.7108019995628
1906	2343.4397289171584
2095	1862.123505718756
2712	2556.9999937881566
1650	2534.7239812937296
1959	2631.9351763615655
2351	1824.447457040138
1692	1976.6782573421222
2008	2635.4695349245635
2182	2608.4162825881613
0	1720.063155143249
1838	1939.484241860345
1973	2273.7946134996337
1655	2437.5817603538353
2046	2268.5810754897216
2473	2583.6169890309247
1446	2162.074308515769
2262	2571.3163030468168
2344	2464.5606192887176
2828	2070.9876339212597
3328	2642.9032174993213
1491	1898.9871356249382
2430	1957.3236768433255
2069	2295.8929542379888
1638	2334.2441476047225
2177	2538.98761269632
2664	1711.396613045336
1974	1771.9395365658827
1995	1725.4916296030472
2799	2120.635566355922
2606	2758.150775329841
1496	1720.063155143249
3123	2549.092204980254
2211	2010.4205399475316
3004	2349.1374446455266
2647	2209.988996290565
2346	2177.68697352265
3306	2871.1893279397814
3841	2343.020536762969
1348	1719.6892357815025
1931	2199.071498767801
1240	1756.7008259288937
2683	2260.0879308158574
2284	2351.240923032079
2049	1805.3265070143711
1496	1720.063155143249
2175	2285.352748528268
2766	2453.649772277229
2010	2229.1655025939835
3060	3114.8312460299876
2793	2593.381596527882
1657	2020.3191608476818
1468	2201.6301876940843
1638	2502.305833339099
2496	2082.908550442261
3033	2593.606294092533
1736	2223.19419262514
3011	2473.672691289497
1545	2419.042567287203
2009	1824.109656518603
2133	2426.3445369293927
2286	2283.2731272001793
2057	2408.0828422780587
2280	1947.3218227869659
2066	2402.0039544513
4022	2315.7983155538545
1897	2030.0036333141238
1953	2114.5178848393216
3294	2214.6831028836555
3064	2599.0185997467797
1922	1785.3931230747937
1780	2147.7370568912706
928	1704.108066272311
1980	1720.063155143249
3427	3745.5600772319635
2344	2105.92088985509
2847	2831.634501763142
1492	2292.515649571048
2121	2301.8068526776005
3014	2301.711562878501
1403	1787.9026302893283
1407	2196.576511434825
2014	2250.2039451222217
2812	2319.2165303214533
2179	2641.380725691863
1669	2060.077511118435
2704	2039.9736102693778
2018	2144.60442036651
1899	2276.9174096336287
2070	1872.3911974541616
1705	2028.3891120494468
1835	2334.44396208971
3133	3128.8499834161016
1963	1681.723039456123
1908	2396.137234679261
2004	2357.4960002926405
1359	1995.0682072626028
2027	2429.8583335789035
2929	2501.645693669936
2796	2373.2845447039354
1926	2576.60345808927
2117	2455.872298729125
3425	2901.7827519971315
3493	2955.3737313098436
1813	2034.1546882747275
2034	2323.143362384998
2098	2197.9522698044293
2781	2318.2357843751715
1356	1768.555313259174
2530	2768.780126593604
2185	2508.1935162781956
2924	2494.5798992503624
3061	2524.5940487226385
3142	2837.9909278226887
2982	2260.980798025266
1595	2150.6069359178473
3180	3372.168924243075
1347	1720.063155143249
1763	1796.1739817365212
2734	2318.854646223391
2187	2433.470686705249
3544	2253.4644975388283
1651	1968.9577534279852
1906	2410.8155404348636
1720	1730.9702135721711
1576	2106.131588753009
2241	2323.4363285408604
3051	1820.2389084827857
2596	2075.1563773618855
4501	2570.4850628842087
1481	2261.387346346754
2638	2014.2178357210091
3659	3832.789701954226
1946	2114.3602777220704
2246	2064.730279402944
2443	2064.1312146924006
2314	2391.9639935030127
2784	2287.462816870855
3069	2546.4408462083425
1826	2286.4113319785333
2324	2750.295530468244
2955	1438.4264156605873
3108	2459.2077011836777
2095	2363.3762865612107
1481	1873.4953834735973
3103	3102.7499497488875
1570	1763.2357480173205
2225	2363.945470945756
2859	2377.8514926829075
3147	2726.7498289723335
2750	2235.07332340841
2064	1720.063155143249
1980	1720.063155143249
3654	2425.800463541009
3287	2615.2145443642626
1934	1678.0877686492195
4044	2764.807227805067
1630	2311.2392690572274
2175	2213.3534424445747
1980	1720.063155143249
1861	2126.0212052550883
1655	2128.78533133016
1466	1722.841633516408
2553	2567.9826394973115
1696	2073.8376700045746
3788	2554.0928014199676
2486	2811.0248711234563
2065	2407.262923293986
4142	2714.83640396851
1841	1720.063155143249
2254	2748.3758731074604
1572	2539.2348863589577
1432	2473.95467352289
4015	4064.134251892182
1623	1962.014186247758
1966	2011.4663663069005
2484	2236.5495191275704
1982	2416.1874726286164
1856	2113.0533682509704
2489	2027.0458437099005
1141	1628.6824379108575
2995	2640.540957391773
