Real Value (z)	Prediction (y)
442736.0	444270.9004782818
528322.0	534037.2649732652
315600.0	326372.9854457935
206921.0	238200.17612885777
609890.0	619999.3364143637
244567.0	276449.06153144187
222116.0	195289.85653521924
480683.0	509452.10827073536
211173.0	262785.3328313879
601102.0	615082.3050738578
545855.0	543871.3276542771
286592.0	265471.25777321775
531682.0	510960.0093045514
556634.0	536405.9259393939
490555.0	565911.9916687984
327522.0	327132.4981193268
265041.0	245803.13241119368
574863.0	600331.21105234
354542.0	337213.60804480617
217683.0	227278.74812638247
239482.0	266614.99885043
421410.0	419685.74377575214
256939.0	249849.81393851212
250619.0	244932.7825980062
388750.0	385266.5243922104
419201.0	430491.4035287313
489939.0	514369.1396112413
561123.0	533857.5555650165
554511.0	548788.358994783
268437.0	245447.5912810656
329739.0	341528.051010716
493218.0	482464.3811795163
337241.0	341124.07946731127
319623.0	312628.45134227606
247063.0	281366.0928719478
518331.0	549974.6283210316
342218.0	364021.62572777655
374356.0	383689.75108980027
664282.0	649501.5244573995
233768.0	210040.95055673702
501603.0	540140.5656400195
411790.0	425473.1249294457
274937.0	291370.3162648699
361978.0	366468.74884337443
414768.0	409851.68109474005
268652.0	281536.2535838578
673892.0	654418.5557979054
653329.0	612709.7664213604
726137.0	683920.743840941
214161.0	185455.79385420738
506202.0	501986.7065558522
347958.0	345930.2736681629
186057.0	155783.4450992616
302513.0	280222.3517947355
582360.0	584393.8477045733
293092.0	279352.0019815479
312413.0	321859.9256486923
175319.0	159527.67468076258
691941.0	664252.6184789173
430441.0	429519.806456764
258379.0	310868.2809149836
631853.0	597958.6723998424
609487.0	599144.9417260911
168363.0	131198.28839673172
428612.0	457624.9306056383
413526.0	412619.3824944325
445058.0	437204.53919696214
537417.0	538954.2963137712
