song_popularity;song_duration_ms;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;audio_mode;speechiness;tempo;time_signature;audio_valence
73.00;262333.00;0.005520000000000001;0.496;0.682;2.94e-05;8.00;0.0589;-4095.00;1.00;0.0294;167.06;4.00;0.474
66.00;216933.00;0.0103;0.542;0.853;0.0;3.00;0.10800000000000001;-6407.00;0.00;0.0498;105256.00;4.00;0.37
76.00;231733.00;0.00817;0.737;0.46299999999999997;0.447;0.00;0.255;-7828000000000000.00;1.00;0.0792;123881.00;4.00;0.324
74.00;216933.00;0.0264;0.451;0.97;0.00355;0.00;0.102;-4938.00;1.00;0.107;122444.00;4.00;0.198
56.00;223826.00;0.0009539999999999999;0.447;0.7659999999999999;0.0;10.00;0.113;-5065.00;1.00;0.0313;172011.00;4.00;0.574
80.00;235893.00;0.00895;0.316;0.945;1.85e-06;4.00;0.396;-31690000000000000.00;0.00;0.124;18993100000000000.00;4.00;0.32
81.00;199893.00;0.000504;0.581;0.887;0.0011099999999999999;4.00;0.268;-3659.00;0.00;0.0624;9057800000000000.00;4.00;0.7240000000000001
76.00;213800.00;0.00148;0.613;0.953;0.000582;2.00;0.152;-3435.00;1.00;0.0855;105046.00;4.00;0.537
80.00;222586.00;0.00108;0.33;0.9359999999999999;0.0;1.00;0.0926;-3.66;1.00;0.0917;148112.00;4.00;0.23399999999999999
81.00;203346.00;0.00172;0.542;0.905;0.0104;9.00;0.136;-5653.00;1.00;0.054000000000000006;153398.00;4.00;0.374
78.00;168253.00;0.0424;0.629;0.897;0.0;2.00;0.263;-34010000000000000.00;1.00;0.0483;161944.00;4.00;0.93
63.00;185586.00;0.0046;0.496;0.863;0.0;9.00;0.639;-41530000000000000.00;1.00;0.0381;11001800000000000.00;4.00;0.243
75.00;209266.00;0.00434;0.647;0.9640000000000001;0.0036;9.00;0.15;-4225.00;0.00;0.06;12694200000000000.00;4.00;0.875
81.00;269000.00;0.0179;0.618;0.938;0.0;9.00;0.16699999999999998;-34420000000000000.00;1.00;0.0456;91455.00;4.00;0.875
69.00;210240.00;0.00035299999999999996;0.42;0.929;0.0007469999999999999;7.00;0.122;-38990000000000000.00;0.00;0.121;127204.00;4.00;0.3
77.00;237026.00;0.00042300000000000004;0.278;0.6759999999999999;0.0008990000000000001;9.00;0.136;-8821.00;1.00;0.0371;104545.00;4.00;0.494
71.00;227240.00;0.0013599999999999999;0.659;0.778;6.79e-06;11.00;0.0841;-6423000000000000.00;1.00;0.0379;110022.00;4.00;0.623
62.00;256600.00;0.00701;0.37;0.9440000000000001;29000000000.00;1.00;0.135;-4979.00;0.00;0.0767;130315.00;4.00;0.345
77.00;187613.00;0.0938;0.5670000000000001;0.795;0.0;9.00;0.114;-4985.00;0.00;0.134;170.06;4.00;0.635
79.00;233933.00;0.006640000000000001;0.545;0.865;1.12e-05;11.00;0.168;-5708000000000000.00;0.00;0.0286;99.01;4.00;0.5429999999999999
69.00;231533.00;0.0014;0.309;0.912;0.000271;4.00;0.5820000000000001;-38810000000000000.00;0.00;0.0646;183035.00;3.00;0.302
79.00;230760.00;0.005520000000000001;0.276;0.715;0.000417;0.00;0.201;-5356.00;1.00;0.0432;137028.00;4.00;0.17300000000000001
13.00;255066.00;0.0137;0.518;0.5379999999999999;0.000398;0.00;0.141;-5818.00;1.00;0.0486;170953.00;4.00;0.687
62.00;195666.00;0.0171;0.58;0.981;1.07e-05;8.00;0.386;-2603.00;0.00;0.06;134007.00;4.00;0.861
77.00;304840.00;0.000202;0.602;0.905;0.064;2.00;0.11699999999999999;-4046.00;1.00;0.0775;128019.00;4.00;0.41100000000000003
79.00;232533.00;0.872;0.657;0.29100000000000004;0.0;2.00;0.114;-10572000000000000.00;1.00;0.0293;103973.00;4.00;0.298
28.00;303920.00;0.0102;0.44;0.932;0.0;3.00;0.142;-4488.00;0.00;0.0584;157438.00;4.00;0.495
78.00;176346.00;2.64e-05;0.38;0.988;78600000000.00;1.00;0.368;-2042.00;1.00;0.0639;186113.00;4.00;0.769
77.00;311106.00;0.00028900000000000003;0.217;0.905;0.00011;2.00;0.222;-4103.00;1.00;0.0752;96.95;4.00;0.23600000000000002
71.00;213106.00;0.0156;0.7140000000000001;0.725;0.0;4.00;0.0726;-64110000000000000.00;1.00;0.0402;99988.00;4.00;0.59
11.00;262733.00;0.000194;0.5820000000000001;0.597;0.000273;5.00;0.517;-5671.00;1.00;0.0512;167738.00;4.00;0.674
77.00;293960.00;0.00797;0.614;0.568;0.0;7.00;0.0997;-5477.00;0.00;0.0276;10784900000000000.00;4.00;0.516
65.00;264706.00;0.0018899999999999998;0.509;0.774;0.000549;6.00;0.14300000000000002;-4054000000000000.00;1.00;0.0338;116529.00;4.00;0.0824
